year,month,day,country,region,state,city,attack_type,weapon_type,target_type,number_of_kills,number_of_wounded,property_damaged,lof_score,is_outlier
1988,5,23,United Kingdom,Western Europe,Northern Ireland,Londonderry,Bombing/Explosion,Explosives,Business,2.0,0.0,1,342120957.7235142,True
1988,5,29,Colombia,South America,Bogota,Bogota,Hostage Taking (Kidnapping),Firearms,Government (General),1.0,1.0,0,193467205.76124418,True
1988,6,3,Peru,South America,Ancash,Huarancayocc,Armed Assault,Firearms,Private Citizens & Property,8.0,0.0,1,257626521.117627,True
1988,6,12,South Africa,Sub-Saharan Africa,Eastern Cape,Uitenhage,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,2.0,0.0,1,556613821.1369431,True
1988,6,29,Suriname,South America,Marowijne,Patamaca,Armed Assault,Firearms,Military,6.0,4.0,1,601959156.9405544,True
1988,7,9,El Salvador,Central America & Caribbean,San Miguel,Sesori,Unknown,Unknown,Military,0.0,10.0,1,711179767.1982217,True
1988,7,17,Honduras,Central America & Caribbean,Cortes,San Pedro Sula,Assassination,Explosives,Military,0.0,4.0,0,583472523.3632762,True
1988,7,18,Australia,Australasia & Oceania,Australian Capital Territory,Canberra,Assassination,Explosives,Military,0.0,0.0,1,2651347150.2547464,True
1988,7,28,Peru,South America,Apurimac,Lambrama district,Armed Assault,Firearms,Military,7.0,3.0,1,495951645.13083017,True
1988,8,1,Peru,South America,Lima,Lima,Facility/Infrastructure Attack,Firearms,Military,1.0,0.0,1,387931336.85429037,True
1988,8,10,Japan,East Asia,Tokyo,Tokyo,Unknown,Unknown,Business,0.0,0.0,1,2654071375.309495,True
1988,8,18,Peru,South America,Ayacucho,Sanabamba,Armed Assault,Firearms,Private Citizens & Property,8.0,0.0,1,257626521.117627,True
1988,9,13,Lesotho,Sub-Saharan Africa,Maseru,Maseru,Hijacking,Firearms,Religious Figures/Institutions,4.0,11.0,1,1267324880.9805374,True
1988,10,16,United Kingdom,Western Europe,Northern Ireland,Belfast,Assassination,Firearms,Terrorists/Non-State Militia,2.0,4.0,0,460636203.542466,True
1988,11,10,Mexico,North America,Tabasco,Macuspana,Assassination,Firearms,Private Citizens & Property,2.0,0.0,0,431397146.5577391,True
1988,11,14,Colombia,South America,Casanare,Pore,Armed Assault,Firearms,Private Citizens & Property,7.0,2.0,1,348036242.4356703,True
1988,11,18,Nicaragua,Central America & Caribbean,Jinotega,Unknown,Armed Assault,Firearms,Business,5.0,2.0,1,336776246.2860371,True
1988,11,21,Peru,South America,Lima,Tupe,Armed Assault,Firearms,Private Citizens & Property,5.0,4.0,1,206100863.0426654,True
1988,12,1,Colombia,South America,Cesar,Loma de Sabaneta,Armed Assault,Firearms,Police,8.0,0.0,1,257626521.117627,True
1989,1,4,Peru,South America,Ayacucho,Occollo,Armed Assault,Firearms,Private Citizens & Property,8.0,0.0,1,257626521.117627,True
1994,2,3,Georgia,Central Asia,Tbilisi,Tbilisi,Assassination,Explosives,Government (General),2.0,1.0,0,305169269.5801383,True
1994,2,20,Pakistan,South Asia,North-West Frontier Province,Peshawar,Hijacking,Explosives,Educational Institution,3.0,0.0,0,1472454093.0262475,True
1994,2,21,Yemen,Middle East & North Africa,Hadramawt,Al-Mukalla,Hijacking,Firearms,Business,2.0,0.0,0,811174890.6647543,True
1994,3,15,Algeria,Middle East & North Africa,Blida,Blida,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,1.0,0.0,1,332526904.62804246,True
1994,3,18,Australia,Australasia & Oceania,New South Wales,Sydney,Facility/Infrastructure Attack,Incendiary,Religious Figures/Institutions,0.0,0.0,1,666857083.374963,True
1994,3,20,Canada,North America,Quebec,Quebec,Unknown,Unknown,Religious Figures/Institutions,0.0,0.0,1,1325602472.7092946,True
1994,3,25,Australia,Australasia & Oceania,Victoria,Melbourne,Unknown,Unknown,Government (Diplomatic),0.0,0.0,1,2445103712.5826073,True
1994,3,30,Mexico,North America,Guanajuato,Guanajuato,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0.0,9.0,1,859854246.9019543,True
1994,4,6,Hong Kong,East Asia,Hong Kong,Hong Kong,Unknown,Unknown,Government (General),0.0,1.0,0,221184476.7790596,True
1994,4,20,Georgia,Central Asia,Tbilisi,Tbilisi,Assassination,Firearms,Government (General),3.0,0.0,0,583348800.4412764,True
1994,4,28,Mexico,North America,Baja California,Tijuana,Assassination,Firearms,Police,2.0,0.0,0,431397146.5577391,True
1994,5,13,Peru,South America,San Martin,Tocache,Facility/Infrastructure Attack,Firearms,Airports & Aircraft,1.0,0.0,1,387931336.85429037,True
1994,6,6,China,East Asia,Fujian,Fuzhou,Hijacking,Unknown,Airports & Aircraft,0.0,0.0,0,484467073.5524151,True
1994,6,14,Wallis and Futuna,Australasia & Oceania,Uvea,Matautu,Facility/Infrastructure Attack,Incendiary,Government (General),0.0,0.0,1,666857083.374963,True
1994,6,15,Tajikistan,Central Asia,Districts of Republican Subordination,Gharm,Assassination,Firearms,Government (General),6.0,0.0,0,1111380940.7859309,True
1994,6,16,United Kingdom,Western Europe,Northern Ireland,Belfast,Assassination,Firearms,Private Citizens & Property,3.0,1.0,0,388707206.11304283,True
1994,6,18,United Kingdom,Western Europe,Northern Ireland,Loughinisland,Assassination,Firearms,Private Citizens & Property,6.0,5.0,0,650298306.3256103,True
1994,6,28,Guatemala,Central America & Caribbean,Guatemala,Guatemala City,Hijacking,Firearms,Government (Diplomatic),0.0,0.0,0,1086620574.2972827,True
1994,7,11,Sri Lanka,South Asia,North Central,Polonnaruwa,Unarmed Assault,Melee,Violent Political Party,2.0,0.0,1,213185596.23931023,True
1994,7,22,Colombia,South America,Santander,Confines,Unknown,Unknown,Business,2.0,1.0,1,194490841.78775868,True
1994,7,26,Cuba,Central America & Caribbean,Havana,Havana,Hijacking,Unknown,Maritime,0.0,0.0,0,1086620574.2972827,True
1994,7,29,United States,North America,Florida,Pensacola,Assassination,Firearms,Abortion Related,2.0,1.0,0,412062690.5735005,True
1994,7,29,Guatemala,Central America & Caribbean,Guatemala,Guatemala City,Unknown,Unknown,Government (Diplomatic),1.0,0.0,1,558190794.5892751,True
1994,8,3,Cuba,Central America & Caribbean,Havana,Havana,Hijacking,Unknown,Maritime,0.0,0.0,0,1086620574.2972827,True
1994,8,5,Cuba,Central America & Caribbean,Havana,Havana,Hijacking,Unknown,Maritime,0.0,0.0,0,1086620574.2972827,True
1994,8,7,Guatemala,Central America & Caribbean,Guatemala,Guatemala City,Hijacking,Unknown,Airports & Aircraft,0.0,0.0,0,1086620574.2972827,True
1994,8,12,Cuba,Central America & Caribbean,Unknown,Unknown,Hijacking,Firearms,Maritime,0.0,0.0,0,1086620574.2972827,True
1994,8,23,Cuba,Central America & Caribbean,Havana,Havana,Hijacking,Melee,Maritime,0.0,2.0,0,543406968.8140017,True
1994,9,5,Australia,Australasia & Oceania,Australian Capital Territory,Canberra,Assassination,Firearms,Government (General),0.0,0.0,0,2651347150.2547464,True
1994,9,12,United States,North America,District of Columbia,Washington,Facility/Infrastructure Attack,Unknown,Government (General),1.0,0.0,1,849534065.2277768,True
1994,9,13,New Zealand,Australasia & Oceania,Auckland,Auckland,Hostage Taking (Kidnapping),Firearms,Private Citizens & Property,0.0,0.0,0,3534939925.5581193,True
1994,9,13,India,South Asia,Jammu and Kashmir,Doda district,Hijacking,Firearms,Educational Institution,1.0,1.0,0,478319918.21538943,True
1994,9,29,Mexico,North America,Chiapas,Chamula,Assassination,Firearms,Private Citizens & Property,3.0,1.0,0,294527042.8088709,True
1994,10,16,Papua New Guinea,Australasia & Oceania,Bougainville,Unknown,Armed Assault,Firearms,Maritime,0.0,0.0,1,1990309988.3406322,True
1994,10,18,Indonesia,Southeast Asia,Jakarta,Jakarta,Facility/Infrastructure Attack,Melee,Military,0.0,4.0,1,202679930.80039197,True
1994,10,20,Mali,Sub-Saharan Africa,Gao,Ansongo,Unknown,Unknown,Private Citizens & Property,3.0,4.0,1,393587965.4016245,True
1994,10,25,Russia,Eastern Europe,Dagestan,Makhachkala,Hijacking,Explosives,Airports & Aircraft,1.0,0.0,0,444042724.57239497,True
1994,10,27,Russia,Eastern Europe,Dagestan,Makhachkala,Hijacking,Fake Weapons,Airports & Aircraft,0.0,0.0,0,1994319222.6271462,True
1994,11,2,Russia,Eastern Europe,Moscow,Moscow,Unknown,Unknown,Government (General),1.0,0.0,0,377568556.70749414,True
1994,11,8,Mexico,North America,Federal,Mexico City,Unknown,Unknown,Business,0.0,0.0,1,1325602472.7092946,True
1994,11,10,Nicaragua,Central America & Caribbean,Unknown,Nueva Esparanza,Unknown,Unknown,Private Citizens & Property,6.0,0.0,1,239075418.03900903,True
1994,11,14,Tajikistan,Central Asia,Dushanbe,Dushanbe,Assassination,Firearms,Journalists & Media,0.0,0.0,0,220300925.7294498,True
1994,11,16,Papua New Guinea,Australasia & Oceania,National Capital District,Port Moresby,Unknown,Unknown,Government (Diplomatic),0.0,0.0,1,2445103712.5826073,True
1994,11,17,Russia,Eastern Europe,Moscow,Moscow,Assassination,Firearms,Business,0.0,3.0,0,246184460.06913662,True
